Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Overall_Skills,Performance_Level
Music,Clinical Psychologist,3.134432367470478,9.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,4.0,4.0,1.0,2.0,1.0,2.4285714285714284,Good
Marketing,Digital Marketing Specialist,2.7165607342489007,3.0,2.0,4.0,0.0,3.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,0.0,2.857142857142857,Average
Education,Conductor,3.3117378613143704,0.0,0.0,4.0,0.0,6.0,0.0,4.0,1.0,3.0,3.0,4.0,4.0,0.0,0.0,2.7142857142857144,Good
Psychology,Astronomer,2.526669577421005,5.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.8571428571428572,Average
Engineering,Digital Marketing Specialist,3.9962979138931214,7.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,4.0,2.0,0.0,1.0,1.0,2.142857142857143,Excellent
Business,Urban Planner,4.860129935353163,9.0,0.0,4.0,1.0,5.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.7142857142857142,
Music,Nurse,4.425406867347927,1.0,1.0,1.0,1.0,8.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.1428571428571428,
Chemistry,Principal,3.800482308428063,4.0,2.0,1.0,0.0,7.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.5714285714285714,Excellent
Chemistry,Curriculum Developer,4.14353071585807,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,
Education,Physical Chemist,2.77710437083843,6.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,2.4285714285714284,Average
Architecture,Digital Marketing Specialist,2.851686816563043,7.0,2.0,2.0,0.0,6.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.4285714285714286,Average
Business,Principal,2.698402854199557,2.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,Average
Medicine,Animator,2.574158740657918,2.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,1.7142857142857142,Average
Chemistry,Biomedical Engineer,4.557176303665877,0.0,0.0,2.0,1.0,4.0,0.0,4.0,2.0,3.0,0.0,4.0,0.0,3.0,1.0,2.2857142857142856,
Music,Architectural Technologist,4.103546687171159,9.0,1.0,0.0,0.0,9.0,1.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.857142857142857,
Business,Acoustics Specialist,3.257256524131277,7.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,4.0,1.0,1.8571428571428572,Good
Business,Graphic Designer,3.6471022046172346,8.0,0.0,4.0,1.0,0.0,1.0,3.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,2.4285714285714284,Excellent
Medicine,Brand Manager,3.993800425368233,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,1.8571428571428572,Excellent
Marketing,Zoologist,4.916785068794728,6.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,3.0,4.0,4.0,1.0,2.142857142857143,
Music,Music Therapist,4.501362724833463,7.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,1.5714285714285714,
Biology,Financial Advisor,4.247139276561124,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,
Finance,Curriculum Developer,2.7569596098974376,2.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.4285714285714286,Average
Law,Astronomer,4.266159042733938,8.0,2.0,3.0,0.0,8.0,0.0,3.0,2.0,1.0,0.0,3.0,4.0,4.0,1.0,2.4285714285714284,
Biology,Legal Consultant,2.6663651856338704,3.0,2.0,4.0,1.0,7.0,1.0,3.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,1.8571428571428572,Average
Music,Legal Secretary,2.588037333098812,2.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,0.0,1.7142857142857142,Average
Psychology,Architectural Technologist,2.808989219474445,9.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.4285714285714286,Average
Psychology,Animator,3.781449116042385,8.0,2.0,4.0,1.0,7.0,1.0,0.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,2.7142857142857144,Excellent
Medicine,Doctor,4.063685552570766,7.0,2.0,4.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,3.0,0.0,1.0,0.0,1.7142857142857142,
Engineering,Cybersecurity Analyst,4.538059887303248,9.0,0.0,2.0,1.0,5.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,0.0,2.4285714285714284,
Finance,Art Therapist,3.2424504630905555,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,3.0,0.0,2.2857142857142856,Good
Art,Special Education Teacher,4.2227694389765,9.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,3.0,1.0,1.8571428571428572,
Business,Biomedical Engineer,4.423228948897836,4.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.5714285714285714,
Chemistry,Fluid Mechanics Engineer,2.725824665997979,7.0,2.0,0.0,0.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,2.5714285714285716,Average
Biology,Acoustics Specialist,3.983915120789746,5.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,3.0,Excellent
Art,Legal Consultant,2.8462260381979494,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,1.4285714285714286,Average
Medicine,Dentist,3.3555058817555814,7.0,1.0,3.0,1.0,8.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.5714285714285714,Good
Business,Psychologist,4.334177467042348,6.0,1.0,1.0,0.0,7.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.7142857142857142,
Psychology,Biotechnologist,3.0294050817973446,7.0,2.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.1428571428571428,Good
Music,Electrical Engineer,3.738358242531409,2.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,Excellent
Chemistry,Dentist,3.2093143331085807,2.0,0.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,4.0,1.0,4.0,2.0,0.0,2.142857142857143,Good
Medicine,Financial Analyst,4.28596367742629,9.0,2.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.8571428571428571,
Finance,Dentist,3.774655846058011,8.0,0.0,4.0,1.0,8.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.142857142857143,Excellent
Business,Urban Planner,3.39964667335951,5.0,1.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.5714285714285714,Good
Education,Data Scientist,4.8415303504457,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,2.142857142857143,
Business,Ecologist,4.189047809354714,6.0,0.0,2.0,1.0,6.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.4285714285714284,
Law,Astronomer,3.962821966591867,3.0,0.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,Excellent
Physics,Clinical Psychologist,4.582598212075117,2.0,1.0,0.0,0.0,9.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,
Engineering,Legal Analyst,3.2806783585379997,9.0,1.0,4.0,0.0,4.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,3.0,0.0,2.2857142857142856,Good
Art,Industrial-Organizational Psychologist,3.58598104189958,1.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,Excellent
Law,Human Resources Specialist,3.991348018753405,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.2857142857142858,Excellent
Psychology,Architect,4.088054048256693,8.0,2.0,3.0,0.0,4.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,1.7142857142857142,
Marketing,Landscape Architect,2.6714756156194723,6.0,0.0,1.0,1.0,7.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,2.2857142857142856,Average
Engineering,Biologist,2.837420207107918,3.0,2.0,4.0,1.0,9.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,Average
Music,Organic Chemist,3.4391444197394687,8.0,2.0,2.0,0.0,8.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,2.142857142857143,Good
Medicine,Financial Analyst,4.269172331947147,7.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,
Architecture,School Counselor,3.651171503813513,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.5714285714285714,Excellent
Computer Science,Graphic Designer,3.748396315050515,1.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.5714285714285714,Excellent
Business,School Counselor,3.479691424433855,2.0,0.0,4.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,4.0,0.0,1.8571428571428572,Good
Psychology,Microbiologist,3.439380008613473,0.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.2857142857142858,Good
Architecture,Digital Marketing Specialist,4.155338903928461,6.0,0.0,1.0,1.0,6.0,0.0,4.0,1.0,3.0,4.0,2.0,3.0,0.0,1.0,2.4285714285714284,
Art,Biomedical Engineer,3.2453723229701468,7.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.7142857142857142,Good
Marketing,School Psychologist,3.0068496877471262,3.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.7142857142857142,Good
Biology,Principal,4.255265642067886,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,1.4285714285714286,
Chemistry,Lawyer,4.703469079306126,5.0,1.0,4.0,0.0,6.0,0.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,0.0,2.857142857142857,
Biology,Zoologist,2.506035365573881,6.0,0.0,3.0,1.0,6.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,1.8571428571428572,Average
Medicine,Credit Analyst,3.0431066970516785,0.0,1.0,2.0,0.0,5.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,4.0,0.0,1.7142857142857142,Good
Medicine,Civil Engineer,2.583560269314149,1.0,2.0,0.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.4285714285714284,Average
Physics,Inorganic Chemist,4.100364265006973,8.0,0.0,4.0,1.0,4.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,1.8571428571428572,
Art,Advertising Manager,3.297026754747971,0.0,1.0,2.0,1.0,9.0,0.0,3.0,3.0,4.0,0.0,3.0,2.0,2.0,1.0,2.4285714285714284,Good
Biology,Artist,2.829810328268473,3.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,2.2857142857142856,Average
Architecture,Composer,2.71659112483153,2.0,2.0,1.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,1.7142857142857142,Average
Computer Science,Ecologist,4.586660269081461,0.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.4285714285714286,
Engineering,Marketing Manager,2.7073457173288302,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,4.0,1.0,2.142857142857143,Average
Engineering,Game Developer,4.963642052271316,7.0,2.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,1.0,1.8571428571428572,
Biology,Clinical Psychologist,3.3442127112379216,1.0,0.0,3.0,1.0,5.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,0.0,2.5714285714285716,Good
Finance,Industrial-Organizational Psychologist,3.4733891797242302,5.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,2.5714285714285716,Good
Architecture,Physical Chemist,4.007927915561247,2.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.857142857142857,
Art,Animator,4.771253320119147,9.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,1.7142857142857142,
Marketing,Inorganic Chemist,4.416437849447499,8.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,1.4285714285714286,
Architecture,Fluid Mechanics Engineer,3.1835915062847477,2.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.7142857142857142,Good
Computer Science,Biologist,3.657021022720624,0.0,2.0,0.0,1.0,9.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0,0.0,1.7142857142857142,Excellent
Architecture,Electrical Engineer,2.978670871061996,2.0,1.0,4.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8571428571428571,Average
Psychology,Composer,4.335460775191125,0.0,2.0,1.0,0.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.142857142857143,
Computer Science,Aerospace Engineer,4.24653601029937,6.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,
Education,Clinical Psychologist,4.678744124297005,9.0,2.0,1.0,1.0,8.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,1.7142857142857142,
Business,Financial Advisor,4.164240427407635,3.0,2.0,4.0,0.0,6.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,1.0,1.8571428571428572,
Finance,Risk Analyst,4.754240311872074,4.0,2.0,2.0,0.0,6.0,0.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,0.0,2.7142857142857144,
Marketing,Financial Analyst,2.7674279335191816,7.0,0.0,2.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.7142857142857143,Average
Engineering,Biomedical Engineer,3.699510857825666,4.0,1.0,2.0,0.0,4.0,1.0,4.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,Excellent
Music,Investment Banker,2.6236921760302603,6.0,1.0,0.0,1.0,5.0,0.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,2.4285714285714284,Average
Music,Architect,4.334702081406926,2.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0,1.0,1.0,2.142857142857143,
Medicine,Electrical Engineer,2.667561544846361,9.0,2.0,4.0,0.0,3.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.7142857142857142,Average
Finance,Education Administrator,4.710128828893305,0.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.4285714285714286,
Chemistry,Illustrator,4.978776918222882,6.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,1.8571428571428572,
Law,Physician Assistant,4.222147566422975,6.0,0.0,1.0,1.0,7.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,1.8571428571428572,
Chemistry,Marketing Specialist,3.3882793391510924,5.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.142857142857143,Good
Physics,Art Director,3.630363165399384,2.0,1.0,1.0,0.0,8.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7142857142857142,Excellent
Medicine,Pharmacist,3.3214027858256845,2.0,1.0,3.0,1.0,8.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,2.142857142857143,Good
Engineering,Principal,4.9642770085897485,4.0,1.0,4.0,0.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.142857142857143,
Finance,School Counselor,4.886666436779597,7.0,2.0,1.0,1.0,8.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,
Business,Accountant,2.8932179068105097,6.0,2.0,3.0,0.0,6.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,2.7142857142857144,Average
Music,Physicist,3.1744458078916,5.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.2857142857142858,Good
Education,Art Therapist,2.919215889360337,3.0,1.0,3.0,0.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.4285714285714286,Average
Biology,Analytical Chemist,4.892861543470483,3.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,2.0,0.0,2.0,
Education,Mechanical Engineer,3.0296023925795144,7.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,4.0,0.0,3.0,3.0,1.0,0.0,2.4285714285714284,Good
Medicine,Biomedical Engineer,3.751194853132751,7.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,Excellent
Architecture,Physical Chemist,3.439304518223437,9.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.4285714285714286,Good
Engineering,Teacher,4.433311240545464,9.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,2.4285714285714284,
Engineering,Civil Engineer,4.223868554566787,1.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,4.0,3.0,1.0,2.4285714285714284,
Engineering,Mechanical Engineer,3.0167880055741456,1.0,2.0,0.0,0.0,9.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,1.0,1.7142857142857142,Good
Engineering,Risk Analyst,4.270289130032075,7.0,1.0,1.0,1.0,7.0,1.0,0.0,2.0,1.0,3.0,4.0,4.0,3.0,0.0,2.4285714285714284,
Biology,Psychologist,3.2621617161691496,8.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.4285714285714286,Good
Computer Science,Nuclear Physicist,4.61852884825236,0.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,1.8571428571428572,
Medicine,AI Researcher,4.226145224204535,2.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,
Biology,Financial Advisor,2.872586828169256,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.4285714285714286,Average
Business,Animator,3.4492834677233937,6.0,0.0,2.0,1.0,7.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.4285714285714286,Good
Medicine,Chemical Engineer,4.26696940504659,1.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,1.8571428571428572,
Chemistry,Risk Analyst,2.5051816612016427,8.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,Average
Engineering,Manager,4.3251372795611,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.1428571428571428,
Music,Brand Manager,2.87666077966295,4.0,2.0,3.0,0.0,7.0,1.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,1.8571428571428572,Average
Physics,Musician,3.845579505344528,6.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,0.0,2.4285714285714284,Excellent
Engineering,Physician Assistant,3.472145834247488,1.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,2.7142857142857144,Good
Business,Graphic Designer,4.561071082669169,2.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,0.0,0.0,4.0,2.0,3.0,1.0,2.2857142857142856,
Art,Surgeon,3.272713653163118,3.0,2.0,2.0,1.0,9.0,1.0,3.0,0.0,4.0,3.0,2.0,2.0,2.0,0.0,2.2857142857142856,Good
Art,Artist,2.8056813346227854,4.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,1.5714285714285714,Average
Law,Software Developer,3.004944248527894,8.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,0.0,2.4285714285714284,Good
Medicine,Musician,3.890244001459372,7.0,0.0,3.0,1.0,9.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,2.4285714285714284,Excellent
Physics,Financial Controller,3.395689176932321,8.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,1.8571428571428572,Good
Engineering,Zoologist,3.2762005519701414,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,1.8571428571428572,Good
Biology,Advertising Manager,2.721694737771547,5.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,2.5714285714285716,Average
Biology,Mechanical Engineer,4.569611515087786,3.0,2.0,0.0,1.0,8.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.2857142857142858,
Law,Web Developer,3.027718543061081,4.0,2.0,4.0,0.0,4.0,0.0,3.0,4.0,0.0,4.0,2.0,1.0,3.0,1.0,2.4285714285714284,Good
Art,Investment Banker,2.604803155795597,4.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,2.2857142857142856,Average
Physics,Judge,3.465708351385276,0.0,0.0,1.0,1.0,9.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,0.0,0.0,2.2857142857142856,Good
Business,Biologist,3.6468629631193776,1.0,2.0,3.0,1.0,4.0,0.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,2.5714285714285716,Excellent
Engineering,Graphic Designer,3.5329578322137705,2.0,0.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.8571428571428572,Excellent
Law,Digital Marketing Specialist,3.928338557204504,5.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,Excellent
Business,Counselor,4.342284962016871,2.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,1.8571428571428572,
Art,Social Media Manager,3.2686975230111712,1.0,1.0,0.0,1.0,6.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,2.2857142857142856,Good
Education,Advertising Manager,4.229628798581821,8.0,0.0,4.0,1.0,9.0,1.0,4.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,1.8571428571428572,
Architecture,Biomedical Engineer,2.955023414210028,4.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.1428571428571428,Average
Computer Science,Credit Analyst,3.9221921314382335,4.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,1.5714285714285714,Excellent
Engineering,Biotechnologist,3.989469039378359,6.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,1.0,1.4285714285714286,Excellent
Business,Social Media Manager,3.827745389149702,2.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.7142857142857143,Excellent
Medicine,School Psychologist,4.946131522348939,4.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,1.7142857142857142,
Education,Musician,3.220163670168369,2.0,2.0,4.0,1.0,4.0,1.0,4.0,0.0,2.0,4.0,4.0,0.0,3.0,0.0,2.4285714285714284,Good
Physics,Nurse,4.23781294580691,4.0,1.0,3.0,0.0,7.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,0.0,2.857142857142857,
Law,Curriculum Developer,2.84423337465812,2.0,0.0,0.0,1.0,9.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,2.857142857142857,Average
Business,Actuary,3.283182001019917,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,2.0,3.0,0.0,2.4285714285714284,Good
Finance,Counselor,2.761618293618486,8.0,1.0,2.0,1.0,5.0,0.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,0.0,2.5714285714285716,Average
Music,Art Director,3.1283133898424818,8.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0,0.0,2.7142857142857144,Good
Medicine,Fluid Mechanics Engineer,4.214990461663177,9.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,2.0,0.0,1.7142857142857142,
Psychology,Musician,2.689741753129019,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.2857142857142856,Average
Biology,Data Scientist,2.5995742935219144,4.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,1.7142857142857142,Average
Finance,Graphic Designer,2.6243290586462544,1.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,Average
Music,Credit Analyst,2.7539925587159653,7.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,2.2857142857142856,Average
Business,Market Research Analyst,4.276076605356296,7.0,1.0,1.0,0.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,
Computer Science,Cybersecurity Analyst,2.9880213618265152,6.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,2.142857142857143,Average
Music,Web Developer,2.8583763187811404,3.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,1.5714285714285714,Average
